,selling_price,year,manufacturer,name,cylinders,km_driven,transmission,owner_id,size,type,paint_color
10042,5500,2012,dodge,caravan,,,automatic,,,,
10043,11995,2006,cadillac,escalade ext 4x4,8 cylinders,95000,automatic,,full-size,,white
10044,4500,2012,volkswagen,passat,,,automatic,,,,
10045,3495,2002,hyundai,santa fe awd,6 cylinders,149975,automatic,KM8SC73D52U140396,,,brown
10046,6595,2008,cadillac,dts,8 cylinders,87000,automatic,,full-size,sedan,silver
10047,1995,1995,lincoln,mark viii,8 cylinders,139000,automatic,,full-size,coupe,
10048,0,2019,gmc,sierra 1500,8 cylinders,10590,automatic,1GTU9DED8KZ151466,,truck,white
10049,24000,2011,subaru,impreza wrx,4 cylinders,79342,manual,,,,
10050,23995,2005,gmc,sierra 3500hd crew cab,8 cylinders,127300,automatic,,,,blue
10051,16200,2018,mitsubishi,outlander sport se,,33429,automatic,JA4AR3AW4JU000991,,hatchback,red
10052,0,2019,nissan,armada,8 cylinders,16864,automatic,JN8AY2NC2KX510635,,SUV,
10053,0,2015,audi,a3,4 cylinders,77627,automatic,,,sedan,black
10054,5500,2010,,Scion tC,4 cylinders,96505,manual,,,coupe,
10055,22995,2015,ford,mustang,,55489,automatic,1FATP8FF5F5371627,sub-compact,convertible,black
10056,9000,2010,volkswagen,eos,4 cylinders,114768,automatic,,,convertible,blue
10057,8950,2003,cadillac,escalade,8 cylinders,120018,automatic,1GYEK63N23R231082,,,
10058,12995,2012,toyota,camry,4 cylinders,43908,automatic,4T1BF1FK5CU622477,,sedan,
10059,3250,2004,ford,mustang coupe,6 cylinders,110000,manual,,mid-size,coupe,black
10060,34000,2015,,maserati quattroporte,6 cylinders,33200,automatic,,full-size,sedan,blue
10061,1700,2001,,Pt Cruiser,,103000,manual,,,,
10062,20300,2015,chrysler,300s v8 hemi,8 cylinders,80165,automatic,,full-size,,red
10063,0,2007,ford,f-150,8 cylinders,,automatic,,full-size,pickup,green
10064,4300,2008,dodge,nitro,6 cylinders,,automatic,,mid-size,SUV,white
10065,19300,2015,bmw,i3 range extender hatchback,,30050,other,WBY1Z4C57FV504225,,hatchback,white
10066,15998,2011,chevrolet,tahoe,8 cylinders,131787,manual,1GNSKBE0XBR248849,,SUV,silver
10067,12995,2013,chevrolet,silverado,,137906,automatic,1GCRCSE0XDZ190507,,pickup,
10068,0,2003,toyota,cmary,4 cylinders,,automatic,,mid-size,sedan,blue
10069,999,2010,toyota,,4 cylinders,,automatic,,full-size,sedan,white
10070,0,1967,chevrolet,c 10,6 cylinders,,manual,,full-size,pickup,blue
10071,4600,2003,toyota,rav4,4 cylinders,149000,automatic,,mid-size,SUV,black
10072,0,2011,jeep,compass,4 cylinders,,automatic,,full-size,sedan,white
10073,0,2005,toyota,tacoma,6 cylinders,,automatic,,mid-size,pickup,silver
10074,0,2012,honda,civic,4 cylinders,85000,automatic,,compact,coupe,black
10075,3800,2004,toyota,highlander,6 cylinders,,automatic,,full-size,SUV,blue
10076,3000,2005,nissan,sentra,4 cylinders,142000,automatic,,mid-size,sedan,white
10077,3900,2009,,chevolet aveo,4 cylinders,98000,automatic,,compact,sedan,black
10078,2900,2000,honda,accord,4 cylinders,,manual,,compact,coupe,black
10079,16500,2010,chevrolet,silverado 2500hd,8 cylinders,60000,automatic,,full-size,pickup,white
10080,0,2010,toyota,,4 cylinders,118000,automatic,,compact,hatchback,white
10081,0,2012,jeep,wrangler unlimited,6 cylinders,44306,automatic,1C4BJWEG9CL273018,,SUV,black
10082,3997,2008,honda,element,4 cylinders,242540,automatic,5J6YH18378L017009,,SUV,
10083,0,2007,honda,cr-v,4 cylinders,118000,automatic,,mid-size,SUV,silver
10084,0,2015,toyota,tacoma,6 cylinders,99205,automatic,5TFLU4EN1FX143004,,truck,white
10085,0,2015,subaru,brz,4 cylinders,37020,manual,JF1ZCAC18F9600901,,coupe,white
10086,0,2014,toyota,tundra,8 cylinders,95788,automatic,5TFHW5F10EX348698,,truck,grey
10087,0,2011,toyota,camry,4 cylinders,81000,automatic,,mid-size,sedan,white
10088,39800,2018,toyota,tundra crewmax,8 cylinders,34218,automatic,5TFHY5F15JX677904,,pickup,white
10089,14500,2013,chevrolet,silverado,6 cylinders,68000,automatic,,,,red
10090,5200,2007,ford,ranger xl,,,manual,,,,
10091,4450,2008,subaru,outback,,152488,automatic,4S4BP60C487314802,,wagon,blue
10092,4990,2006,honda,accord,,185551,automatic,1HGCM56846A181930,,sedan,red
10093,0,2015,nissan,titan,8 cylinders,67989,automatic,1N6AA0EC2FN505485,,truck,blue
10094,4990,2007,subaru,outback,,120848,automatic,4S4BP61C277310549,,wagon,
10095,5300,2012,hyundai,veloster 3d coupe,4 cylinders,130665,automatic,,compact,coupe,blue
10096,11995,2010,chevrolet,camaro ss,8 cylinders,102200,manual,,,coupe,white
10097,8900,2013,lincoln,mks,,112284,automatic,,,,
10098,8895,2004,ford,f250 super duty diesel,8 cylinders,221000,automatic,,,pickup,black
10099,20900,2013,ford,f-250,,165568,automatic,,,,
10100,0,2017,toyota,tacoma,6 cylinders,26316,automatic,3TMCZ5ANXHM091166,,truck,blue
10101,0,2015,gmc,sierra 1500,8 cylinders,41697,automatic,3GTP1UEC1FG524025,,truck,black
10102,44500,2019,ford,f-250,,16050,automatic,,,,
10103,0,2015,ford,mustang,6 cylinders,35781,automatic,1FA6P8AMXF5367897,,coupe,white
10104,0,2015,toyota,tacoma,6 cylinders,90745,automatic,3TMJU4GN8FM177936,,truck,white
10105,6300,2015,nissan,versa,4 cylinders,80065,automatic,,compact,sedan,blue
10106,28400,2018,nissan,titan,,,automatic,,,,
10107,14995,2007,gmc,yukon,,106261,automatic,1GKFK63877J269355,,SUV,white
10108,18995,2010,toyota,4-runner,,132055,automatic,JTEBU5JR9A5027091,,wagon,black
10109,26500,2015,ford,f-150,,,automatic,,,,
10110,16995,2009,gmc,sierra,,101788,automatic,3GTEK23319G277234,,pickup,black
10111,11995,2012,chevrolet,suburban,,180088,automatic,1GNSKJE75CR164883,,SUV,white
10112,30500,2017,chevrolet,silverado,,,automatic,,,,
10113,10995,2008,chevrolet,tahoe,,147219,automatic,1GNFK13018R156651,,SUV,blue
10114,9995,2005,gmc,sierra 1500,8 cylinders,148597,automatic,2GTEK19B551273652,,pickup,red
10115,28998,2018,ford,f-150,,,automatic,,,,
10116,9650,2009,infiniti,m35,6 cylinders,86346,automatic,JNKCY01F89M852884,,,
10117,7995,2005,toyota,tundra,,190800,automatic,5TBBT44115S457746,,pickup,
10118,17995,2013,toyota,4-runner,,157705,automatic,JTEBU5JR0D5129562,,wagon,
10119,2500,2003,chevrolet,suburban 1500,8 cylinders,,automatic,,full-size,truck,custom
10120,11500,2010,ford,mustang,,92713,automatic,1ZVBP8CH6A5120049,sub-compact,coupe,red
10121,3297,2003,chevrolet,malibu ls,6 cylinders,117544,automatic,1G1NE52J43M649896,,sedan,
10122,6997,2006,nissan,frontier,6 cylinders,178508,automatic,1N6AD07U16C455526,,pickup,
10123,3997,2011,ford,focus,4 cylinders,182312,automatic,1FAHP3FN1BW133214,,sedan,
10124,3497,2001,honda,cr-v,4 cylinders,198880,automatic,JHLRD18661C012344,,SUV,
10125,9997,2009,gmc,yukon denali,8 cylinders,177893,automatic,1GKFK03249J100728,,SUV,
10126,9997,2012,ford,expedition xl,8 cylinders,149988,automatic,1FMJK1J5XCEF65387,,SUV,
10127,0,2008,chevrolet,cobalt,4 cylinders,123176,automatic,1G1AK58F087132255,,sedan,
10128,3997,2009,chevrolet,cobalt,4 cylinders,134565,automatic,1G1AT18H997279540,,coupe,
10129,62995,2020,jeep,gladiator rubicon launch ed,,1320,automatic,1C6JJTBG5LL118603,,pickup,black
10130,9000,2006,mercedes-benz,benz slk280,6 cylinders,67437,automatic,,compact,convertible,silver
10131,3500,2003,chevrolet,tahoe,8 cylinders,327,automatic,,,,
10132,4000,2002,toyota,4runner,6 cylinders,265854,automatic,,,SUV,
10133,85995,2019,,Kenworth T270 Century Rollback/W,,66110,automatic,2NKHHM6XXKM246081,,pickup,white
