,selling_price,year,manufacturer,name,cylinders,km_driven,transmission,owner_id,size,type,paint_color,ex_showroom_price
1496,6800,2006,dodge,dakota,6 cylinders,168200,automatic,1D7HW48K56S599477,mid-size,pickup,silver,13122
1497,2700,2005,chevrolet,silverado,6 cylinders,325000,automatic,,full-size,pickup,white,9641
1498,6995,2009,subaru,outback,4 cylinders,123913,automatic,4S4BP61C797348264,,SUV,,11678
1499,15500,2013,mercedes-benz,c300,6 cylinders,66000,automatic,WDDGF8ABODG116636,mid-size,sedan,black,23036
1500,8000,2003,gmc,duramax 2500,8 cylinders,195000,automatic,,full-size,pickup,black,16774
1501,3200,2007,volvo,xc70 awd,,,automatic,,,,silver,11001
1502,5500,2007,volvo,s40,5 cylinders,,automatic,,mid-size,sedan,silver,14151
1503,9500,2005,honda,element,4 cylinders,188246,automatic,,,,,15669
1504,16000,2008,ford,mustang,8 cylinders,100000,manual,,,coupe,black,23224
1505,9250,2014,mazda,mazda3 touring hatchback,,106000,automatic,,,hatchback,silver,17264
1506,9000,2000,ford,f250,8 cylinders,130000,automatic,,full-size,truck,red,15929
1507,4495,2005,honda,accord,,129000,automatic,JHMCN36405C010204,full-size,sedan,silver,12652
1508,8995,2008,chevrolet,silverado 2500 hd 4x4,8 cylinders,,automatic,,full-size,pickup,,17877
1509,800,2008,chevrolet,cobalt lt,4 cylinders,144000,automatic,,,,grey,7062
1510,7995,2007,ford,econoline e350,8 cylinders,41000,automatic,1FTSS34L77DA11217,full-size,van,white,13056
1511,4500,2007,subaru,outback,,142,automatic,,,,,8840
1512,2450,2009,pontiac,g3,,,manual,,,,,7413
1513,18990,2002,ford,f-350,,107110,,1FDWX37F12ED05185,,other,red,27646
1514,12900,2010,toyota,tacoma sr5 v6 4x4,6 cylinders,,automatic,5TEUU4EN5AZ680688,mid-size,pickup,silver,17534
